date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:38	1612/1612	---M--	200	added ('OK')	image/png	etag:%2262da83bf-64c%22	https://www.blockchainfirm.io/img/partners/2.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/partners/2.png	(from https://www.blockchainfirm.io/)
10:44:38	273279/273279	---M--	200	added ('OK')	image/gif	etag:%2262da83bf-42b7f%22	https://www.blockchainfirm.io/img/test.gif	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/test.gif	(from https://www.blockchainfirm.io/)
10:44:38	1779/1779	---M--	200	added ('OK')	image/png	etag:%2262da83bf-6f3%22	https://www.blockchainfirm.io/img/partners/3.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/partners/3.png	(from https://www.blockchainfirm.io/)
10:44:38	2393/2393	---M--	200	added ('OK')	image/png	etag:%2262da83bf-959%22	https://www.blockchainfirm.io/img/partners/4.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/partners/4.png	(from https://www.blockchainfirm.io/)
10:44:39	1312/1312	---M--	200	added ('OK')	image/png	etag:%2262da83bf-520%22	https://www.blockchainfirm.io/img/partners/5.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/partners/5.png	(from https://www.blockchainfirm.io/)
10:44:39	1636/1636	---M--	200	added ('OK')	image/png	etag:%2262da83bf-664%22	https://www.blockchainfirm.io/img/partners/6.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/partners/6.png	(from https://www.blockchainfirm.io/)
10:44:39	1638/1638	---M--	200	added ('OK')	image/png	etag:%2262da83bf-666%22	https://www.blockchainfirm.io/img/partners/7.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/partners/7.png	(from https://www.blockchainfirm.io/)
10:44:39	1581/1581	---M--	200	added ('OK')	image/png	etag:%2262da83bf-62d%22	https://www.blockchainfirm.io/img/partners/8.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/partners/8.png	(from https://www.blockchainfirm.io/)
10:44:40	2320/2320	---M--	200	added ('OK')	image/png	etag:%2262da83bf-910%22	https://www.blockchainfirm.io/img/partners/9.png	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/partners/9.png	(from https://www.blockchainfirm.io/)
10:44:40	18549/18549	---M--	200	added ('OK')	image/gif	etag:%2262da83bf-4875%22	https://www.blockchainfirm.io/img/loader.gif	C:/My%20Web%20Sites/webi/www.blockchainfirm.io/img/loader.gif	(from https://www.blockchainfirm.io/)
